"country","area","time","agri_emp","industry_emp","services_emp","agri_value_add","industry_value_add","services_value_add","gdp_growth","gdp_constant","gdp_per_capita_constant","gdp_ppp_constant","urban_population","rural_population","total_population","unemployment_total","unemployment_male","unemployment_female"
"CZE","East Europe","YR2015",2.930000067,38.02999878,59.04999924,2.211213873,33.7818228,54.05741974,5.388380838,1.88e+11,17829.69832,36168.41856,73.477,26.523,10546059,5.05,4.23,6.07
"CZE","East Europe","YR2016",2.900000095,38.06999969,59.02999878,2.087047124,33.40932728,54.45220251,2.53728452,1.93e+11,18247.01173,37014.95929,73.57,26.43,10566332,3.95,3.38,4.67
"CZE","East Europe","YR2017",2.799999952,38.06000137,59.13999939,2.057606888,32.70829701,55.09617682,5.168724304,2.03e+11,19139.23988,38824.88792,73.675,26.325,10594438,2.89,2.34,3.58
"CZE","East Europe","YR2018",2.799999952,37.5,59.70000076,1.936644875,31.75703117,56.42316114,3.198656101,2.09e+11,19685.49448,39932.99219,73.792,26.208,10629928,2.24,1.79,2.8
"CZE","East Europe","YR2019",2.660000086,37.25,60.09000015,1.861218013,31.51663769,56.9749003,3.029478257,2.16e+11,20202.15159,40981.05651,73.921,26.079,10671870,2.01,1.72,2.38
"DEU","West Europe","YR2010",1.649999976,28.30999947,70.04000092,0.803696771,26.84889253,62.258657,4.179882499,3.09e+12,37745.73075,46999.23997,76.966,23.034,81776930,6.97,7.36,6.49
"DEU","West Europe","YR2011",1.649999976,28.23999977,70.12000275,0.910022424,27.06897192,61.79435394,3.925192705,3.21e+12,39961.26765,49757.92416,77.16,22.84,80274983,5.82,6.03,5.58
"DEU","West Europe","YR2012",1.559999943,28.19000053,70.25,0.847918814,27.28398614,61.68673119,0.418497594,3.22e+12,40053.2429,49872.44749,77.17,22.83,80425823,5.38,5.55,5.18
"DEU","West Europe","YR2013",1.450000048,27.78000069,70.77999878,0.942643214,26.78261334,62.19179398,0.437591303,3.24e+12,40118.87838,49954.17375,77.18,22.82,80645605,5.23,5.5,4.91
"DEU","West Europe","YR2014",1.429999948,28.04999924,70.51999664,0.904547675,27.01099599,62.10857305,2.209543431,3.31e+12,40834.73633,50845.527,77.19,22.81,80982500,4.98,5.28,4.63
"DEU","West Europe","YR2015",1.389999986,27.69000053,70.91999817,0.684691591,27.10978858,62.1545645,1.491931528,3.36e+12,41086.72967,51159.29746,77.2,22.8,81686611,4.62,4.97,4.22
"DEU","West Europe","YR2016",1.309999943,27.37999916,71.30999756,0.69843113,27.56850648,61.77060936,2.229999868,3.43e+12,41665.27277,51879.67259,77.224,22.776,82348669,4.12,4.45,3.74
"DEU","West Europe","YR2017",1.279999971,27.39999962,71.31999969,0.85174892,27.46232202,61.79703473,2.680231114,3.52e+12,42622.40993,53071.45557,77.261,22.739,82657002,3.75,4.12,3.32
"DEU","West Europe","YR2018",1.25,27.34000015,71.41000366,0.689013201,27.30707333,62.12538526,1.086024514,3.56e+12,42956.01129,53486.84057,77.312,22.688,82905782,3.38,3.79,2.91
"DEU","West Europe","YR2019",1.210000038,27.18000031,71.61000061,0.778988585,27.00865159,62.34612118,1.055508247,3.6e+12,43311.62898,53929.63929,77.376,22.624,83092962,3.14,3.5,2.73
"DNK","Nordic","YR2010",2.539999962,19.87000084,77.58999634,1.20190857,19.70492415,65.38841344,1.870991147,2.84e+11,51173.46616,50825.41229,86.795,13.205,5547683,7.75,8.62,6.76
"DNK","Nordic","YR2011",2.400000095,20.04000092,77.56999969,1.31213399,20.25469861,64.72815861,1.336777767,2.88e+11,51644.46351,51293.20618,86.957,13.043,5570572,7.77,7.9,7.62
"DNK","Nordic","YR2012",2.640000105,19.77000046,77.58999634,1.65472753,20.39791732,64.28426581,0.226499792,2.88e+11,51567.04015,51216.30941,87.142,12.858,5591572,7.8,7.8,7.79
"DNK","Nordic","YR2013",2.589999914,19.63999939,77.76999664,1.302127587,20.06180735,65.15086467,0.933340972,2.91e+11,51831.79793,51479.26645,87.292,12.708,5614932,7.38,7.12,7.67
"DNK","Nordic","YR2014",2.480000019,19.37000084,78.15000153,1.382462598,19.78499589,65.59860768,1.619393811,2.96e+11,52404.76397,52048.33549,87.41,12.59,5643475,6.93,6.73,7.14
"DNK","Nordic","YR2015",2.49000001,19.42000008,78.08000183,0.957580201,19.98745459,65.83381243,2.342591108,3.03e+11,53254.85637,52892.64603,87.526,12.474,5683483,6.28,6.06,6.53
"DNK","Nordic","YR2016",2.329999924,19.04999924,78.62000275,0.961160974,20.66861683,65.14936431,3.245956985,3.12e+11,54556.06895,54185.00848,87.642,12.358,5728010,5.99,5.64,6.38
"DNK","Nordic","YR2017",2.109999895,18.94000053,78.94999695,1.30480036,20.74323784,64.90632144,2.821736341,3.21e+11,55735.7649,55356.68078,87.757,12.243,5764980,5.83,5.64,6.05
"DNK","Nordic","YR2018",2.190000057,18.90999985,78.90000153,1.026569351,20.82449329,64.91700309,1.989537315,3.28e+11,56563.48847,56178.77463,87.874,12.126,5793636,5.13,4.94,5.35
"DNK","Nordic","YR2019",2.220000029,18.54999924,79.23000336,1.222028102,21.19540379,64.68690951,2.114664208,3.35e+11,57553.13124,57161.68639,87.994,12.006,5814422,5.02,4.8,5.27
"ESP","West Europe","YR2010",4.199999809,22.97999954,72.83000183,2.431134632,23.15977586,66.27734083,0.163010231,1.2e+12,25692.36964,37319.47622,78.442,21.558,46576897,19.86,19.57,20.23
"ESP","West Europe","YR2011",4.099999905,21.76000023,74.13999939,2.373272994,22.08114025,67.69383782,-0.814373455,1.19e+12,25392.74712,36884.25924,78.673,21.327,46742697,21.39,21.05,21.81
"ESP","West Europe","YR2012",4.21999979,20.67000008,75.11000061,2.408304149,21.03464362,68.53066485,-2.959441302,1.15e+12,24625.27029,35769.46003,78.902,21.098,46773055,24.79,24.58,25.03
"ESP","West Europe","YR2013",4.300000191,19.75,75.94999695,2.622340613,20.27955168,68.48339978,-1.435394259,1.14e+12,24351.46219,35371.73982,79.133,20.867,46620045,26.09,25.6,26.67
"ESP","West Europe","YR2014",4.239999771,19.45000076,76.30999756,2.536336491,20.08064657,68.44940406,1.383907943,1.15e+12,24762.38087,35968.62014,79.366,20.634,46480882,24.44,23.6,25.43
"ESP","West Europe","YR2015",4.119999886,19.89999962,75.97000122,2.735363172,20.08695329,67.97928711,3.83517266,1.2e+12,25732.01836,37377.06802,79.602,20.398,46444832,22.06,20.78,23.55
"ESP","West Europe","YR2016",4.21999979,19.61000061,76.16999817,2.825720032,20.00852905,67.90481577,3.03130133,1.23e+12,26489.65868,38477.57918,79.84,20.16,46484062,19.64,18.12,21.39
"ESP","West Europe","YR2017",4.349999905,20.05999947,75.58999634,2.788529152,20.0600413,67.79691651,2.973641191,1.27e+12,27213.45167,39528.92539,80.08,19.92,46593236,17.22,15.66,19.04
"ESP","West Europe","YR2018",4.199999809,20.32999992,75.45999908,2.757594167,19.8788457,67.85280642,2.288785676,1.3e+12,27714.65755,40256.95248,80.321,19.679,46797754,15.26,13.73,17.03
"ESP","West Europe","YR2019",4.03000021,20.43000031,75.54000092,2.594635861,20.14754395,67.94438975,2.085191421,1.32e+12,28091.01233,40803.62698,80.565,19.435,47133521,14.1,12.46,16.01
"FIN","Nordic","YR2010",4.440000057,23.29999924,72.26000214,2.418904769,26.15829449,58.94293171,3.185958654,2.34e+11,43546.05619,45874.6613,83.77,16.23,5363352,8.39,9.09,7.64
"FIN","Nordic","YR2011",4.230000019,23,72.77999878,2.321235568,25.03106092,59.30665966,2.547664838,2.4e+11,44448.93852,46825.82484,84.313,15.687,5388272,7.78,8.4,7.1
"FIN","Nordic","YR2012",4.159999847,22.79000092,73.05999756,2.314499321,23.37878102,60.68932585,-1.397545728,2.36e+11,43619.70304,45952.24638,84.841,15.159,5413971,7.69,8.28,7.05
"FIN","Nordic","YR2013",4.130000114,22.85000038,73.01999664,2.367353331,23.32163605,60.44263683,-0.901696316,2.34e+11,43027.68962,45328.57532,85.125,14.875,5438972,8.19,8.82,7.52
"FIN","Nordic","YR2014",4.260000229,21.89999962,73.84999847,2.398294804,23.09748329,60.73553507,-0.364908157,2.33e+11,42693.74812,44976.77645,85.175,14.825,5461512,8.66,9.33,7.95
"FIN","Nordic","YR2015",4.21999979,21.70000076,74.06999969,2.25370769,23.3058164,60.82266954,0.543659212,2.34e+11,42784.69836,45072.59021,85.225,14.775,5479531,9.38,9.88,8.84
"FIN","Nordic","YR2016",3.869999886,22.15999985,73.98000336,2.310613375,23.49736574,60.34305207,2.811457767,2.41e+11,43861.32391,46206.78781,85.275,14.725,5495303,8.82,9.04,8.58
"FIN","Nordic","YR2017",3.75999999,22.15999985,74.08000183,2.315942042,24.40068758,59.76420785,3.19240963,2.49e+11,45155.46603,47570.13358,85.325,14.675,5508214,8.64,8.87,8.39
"FIN","Nordic","YR2018",3.710000038,22.34000015,73.94999695,2.386622578,23.99557969,59.84546062,1.141947509,2.52e+11,45610.57926,48049.58378,85.382,14.618,5515525,7.36,7.42,7.3
"FIN","Nordic","YR2019",3.779999971,21.63999939,74.58000183,2.456090663,23.8711854,60.10695677,1.343755373,2.55e+11,46172.5675,48641.62408,85.446,14.554,5521606,6.7,7.18,6.17
"FRA","West Europe","YR2010",2.910000086,22.25,74.83999634,1.604028289,17.84573563,70.65197072,1.949437623,2.32e+12,35625.47404,42147.67168,78.369,21.631,65027505,8.87,8.7,9.07
"FRA","West Europe","YR2011",2.910000086,22.17000008,74.91999817,1.650287193,17.97816621,70.17969081,2.192700633,2.37e+12,36230.96922,42864.01897,78.622,21.378,65342789,8.81,8.54,9.12
"FRA","West Europe","YR2012",2.920000076,21.76000023,75.31999969,1.631795037,17.86855062,70.27949966,0.313134751,2.37e+12,36168.93936,42790.63288,78.878,21.122,65659814,9.4,9.44,9.36
"FRA","West Europe","YR2013",3.079999924,21.30999947,75.62000275,1.458632177,17.97180129,70.30369041,0.576326675,2.39e+12,36190.61048,42816.27148,79.135,20.865,65998685,9.92,10.04,9.79
"FRA","West Europe","YR2014",2.849999905,20.53000069,76.62000275,1.55635616,17.74593967,70.3461076,0.956183052,2.41e+12,36363.99158,43021.39464,79.394,20.606,66312067,10.29,10.53,10.03
"FRA","West Europe","YR2015",2.710000038,20.31999969,76.97000122,1.605644387,17.67969171,70.20872149,1.112912341,2.44e+12,36638.18493,43345.78643,79.655,20.345,66548272,10.35,10.77,9.9
"FRA","West Europe","YR2016",2.859999895,20.22999954,76.91000366,1.437114867,17.43413205,70.50541844,1.095464404,2.46e+12,36941.93624,43705.14756,79.917,20.083,66724104,10.04,10.22,9.84
"FRA","West Europe","YR2017",2.609999895,20.40999985,76.98000336,1.542414774,17.24115265,70.28536828,2.291419994,2.52e+12,37678.9273,44577.06457,80.18,19.82,66918020,9.41,9.44,9.37
"FRA","West Europe","YR2018",2.5,20.23999977,77.26999664,1.648876616,17.18837933,70.09621268,1.865066071,2.57e+12,38276.46942,45284.00279,80.444,19.556,67101930,9.02,8.99,9.05
"FRA","West Europe","YR2019",2.529999971,20.43000031,77.04000092,1.522459269,17.42467597,70.04358733,1.842971814,2.62e+12,38896.68543,46017.76596,80.709,19.291,67248926,8.44,8.5,8.38
"GBR","West Europe","YR2010",1.220000029,19.20999908,79.56999969,0.602160409,18.88692125,70.61447282,2.131438198,2.67e+12,42275.28835,42147.76556,81.302,18.698,62766365,7.79,8.57,6.87
"GBR","West Europe","YR2011",1.220000029,19.18000031,79.59999847,0.690202928,18.52418885,70.10779816,1.457563391,2.71e+12,42481.30293,42429.20983,81.57,18.43,63258810,8.04,8.64,7.34
"GBR","West Europe","YR2012",1.190000057,19.06999969,79.73999786,0.637404835,18.51692417,70.26650517,1.469887521,2.75e+12,42790.3727,42754.54043,81.837,18.163,63700215,7.89,8.31,7.38
"GBR","West Europe","YR2013",1.059999943,18.87000084,80.06999969,0.637535517,18.77216415,69.90851321,1.890018342,2.8e+12,43433.9477,43271.82746,82.102,17.898,64128273,7.52,7.95,7.04
"GBR","West Europe","YR2014",1.25999999,18.96999931,79.77999878,0.746524021,18.36994886,70.12885881,2.991164814,2.88e+12,44349.51987,44239.15106,82.365,17.635,64602298,6.11,6.36,5.82
"GBR","West Europe","YR2015",1.139999986,18.65999985,80.19999695,0.634452453,18.16519327,70.47444931,2.622596679,2.96e+12,45039.23595,45041.05718,82.626,17.374,65116219,5.3,5.45,5.12
"GBR","West Europe","YR2016",1.129999995,18.46999931,80.40000153,0.566834504,17.60340726,71.05211744,2.263463538,3.02e+12,45469.07774,45712.78343,82.886,17.114,65611593,4.81,4.92,4.68
"GBR","West Europe","YR2017",1.159999967,18.26000023,80.58000183,0.593378706,17.82968543,70.86130989,2.134453093,3.09e+12,45947.16434,46372.3866,83.143,16.857,66058859,4.33,4.43,4.22
"GBR","West Europe","YR2018",1.070000052,18.12999916,80.80000305,0.576624141,17.90602379,70.85863557,1.650925496,3.14e+12,46241.65197,46853.20111,83.398,16.602,66460344,4,4.05,3.94
"GBR","West Europe","YR2019",1.049999952,18.12000084,80.83000183,0.611985281,17.9812467,70.85647344,1.671944197,3.19e+12,46611.84433,47368.58441,83.652,16.348,66836327,3.74,3.92,3.53
"HUN","East Europe","YR2010",4.539999962,30.70000076,64.76000214,3.032888355,25.18927276,56.67671381,1.083118668,1.13e+11,11287.52167,24486.04173,68.911,31.089,10000023,11.17,11.61,10.66
"HUN","East Europe","YR2011",4.889999866,30.84000015,64.27999878,3.993614387,25.09390433,56.01555836,1.860155072,1.15e+11,11538.82332,25012.2947,69.358,30.642,9971727,11.03,11.07,10.98
"HUN","East Europe","YR2012",5.059999943,29.79000092,65.15000153,3.88978875,25.0098332,55.28584432,-1.257749507,1.14e+11,11438.43574,24825.58083,69.678,30.322,9920362,11,11.34,10.61
"HUN","East Europe","YR2013",4.78000021,29.89999962,65.33000183,3.915692223,25.04016853,55.49949555,1.806363928,1.16e+11,11683.40481,25343.71384,69.953,30.047,9893082,10.18,10.21,10.14
"HUN","East Europe","YR2014",4.679999828,30.5,64.81999969,3.934782432,25.68231857,54.88400546,4.223725539,1.21e+11,12210.33804,26485.41282,70.227,29.773,9866468,7.73,7.57,7.91
"HUN","East Europe","YR2015",4.900000095,30.32999992,64.76999664,3.788469313,26.37561242,54.09496407,3.703259936,1.25e+11,12706.89121,27531.64408,70.5,29.5,9843028,6.81,6.62,7.04
"HUN","East Europe","YR2016",5.039999962,30.44000053,64.51999664,3.889339573,25.48728165,55.45715855,2.191960369,1.28e+11,13017.17658,28218.27918,70.779,29.221,9814023,5.12,5.12,5.11
"HUN","East Europe","YR2017",5.039999962,31.52000046,63.43999863,3.753566864,25.1654519,55.89373605,4.268557419,1.33e+11,13615.24914,29501.12042,71.062,28.938,9787966,4.16,3.81,4.57
"HUN","East Europe","YR2018",4.849999905,32.41999817,62.72999954,3.485911692,25.08088046,55.89007494,5.359496489,1.41e+11,14368.63902,31121.66514,71.351,28.649,9775564,3.71,3.48,3.99
"HUN","East Europe","YR2019",4.71999979,32.09000015,63.18999863,3.342481824,24.786263,56.51189412,4.554063072,1.47e+11,15042.33622,32553.69447,71.644,28.356,9771141,3.42,3.36,3.5
"ISL","Nordic","YR2010",5.590000153,18.44000053,75.97000122,6.292599726,22.04776474,61.88643482,-2.832774915,15327572988,48193.7014,47457.62292,93.574,6.426,318041,7.56,8.3,6.73
"ISL","Nordic","YR2011",5.489999771,18.54999924,75.95999908,6.600551033,22.36622883,61.09251781,1.845779156,15610486136,48933.54566,48186.16729,93.587,6.413,319014,7.03,7.76,6.21
"ISL","Nordic","YR2012",5.550000191,18.21999931,76.23000336,6.561182304,21.09311164,62.011072,1.063636607,15776524981,49191.57442,48440.25508,93.6,6.4,320716,6,6.31,5.66
"ISL","Nordic","YR2013",4.449999809,18.63999939,76.91999817,5.856046258,21.14042666,62.91407358,4.55246032,16494745020,50946.81626,50168.68853,93.633,6.367,323764,5.38,5.65,5.08
"ISL","Nordic","YR2014",4.539999962,18.43000031,77.02999878,5.277859894,20.79181745,63.76724966,1.687215018,16773046836,51233.24405,50450.74161,93.667,6.333,327386,4.9,5,4.79
"ISL","Nordic","YR2015",4.239999771,17.84000015,77.91999817,5.310744078,20.23658696,64.36605974,4.436663719,17517210519,52951.68151,52142.93281,93.7,6.3,330815,3.98,3.91,4.05
"ISL","Nordic","YR2016",3.900000095,17.45999908,78.65000153,4.581221123,19.58291034,65.52405698,6.303687107,18621440660,55513.6423,54665.76392,93.735,6.265,335439,2.98,2.92,3.05
"ISL","Nordic","YR2017",3.75999999,17.47999954,78.76000214,3.782942872,19.52199001,65.59771989,4.194948829,19402600567,56501.45768,55638.49206,93.773,6.227,343400,2.74,2.76,2.72
"ISL","Nordic","YR2018",4.03000021,16.79000092,79.18000031,3.922777196,19.56643518,65.73717109,4.892180731,20351810853,57699.45893,56818.19584,93.813,6.187,352721,2.7,2.85,2.54
"ISL","Nordic","YR2019",4.039999962,17.46999931,78.48999786,4.375656398,19.70506263,66.03636423,2.434823,20847341425,57818.85946,56935.77273,93.855,6.145,360563,3.51,3.86,3.12
"ITA","West Europe","YR2010",3.769999981,28.61000061,67.62000275,1.775514538,21.86576084,66.31397385,1.713295839,1.9e+12,32045.28407,42664.35527,68.327,31.673,59277417,8.36,7.5,9.6
"ITA","West Europe","YR2011",3.680000067,28.29000092,68.02999878,1.883426278,21.74970363,66.18458598,0.707333347,1.91e+12,32216.498,42892.30556,68.444,31.556,59379449,8.36,7.52,9.55
"ITA","West Europe","YR2012",3.690000057,27.57999992,68.72000122,1.970753135,21.3450699,66.4430892,-2.980905768,1.86e+12,31172.01976,41501.71123,68.684,31.316,59539717,10.66,9.8,11.83
"ITA","West Europe","YR2013",3.599999905,27.04999924,69.34999847,2.144589807,21.17245852,66.68531596,-1.841065451,1.82e+12,30245.46146,40268.11279,68.979,31.021,60233948,12.15,11.48,13.07
