country,area,time,agri_emp,industry_emp,services_emp,agri_value_add,industry_value_add,services_value_add,gdp_growth,gdp_constant,gdp_per_capita_constant,gdp_ppp_constant,urban_population,rural_population,total_population,unemployment_total,unemployment_male,unemployment_female
ESP,West Europe,YR2014,0.106475293,0.122807011,0.887450103,0.326416062,0.134479677,0.907342083,0.471017974,0.316534481,0.264853486,0.384687128,0.638010293,0.361989707,0.557691151,0.931478405,0.916247906,0.948950185
ESP,West Europe,YR2015,0.102469957,0.143582582,0.87898406,0.359401814,0.134772916,0.890605682,0.689477431,0.330482757,0.278742532,0.415112288,0.643906461,0.356093539,0.557255633,0.832641196,0.798157454,0.871552079
ESP,West Europe,YR2016,0.105807737,0.130193892,0.883964063,0.374377138,0.13112648,0.887954464,0.617835518,0.338851723,0.28959494,0.438885428,0.649852596,0.350147404,0.557729569,0.732142857,0.686767169,0.782626595
ESP,West Europe,YR2017,0.11014686,0.150969463,0.869521788,0.368213296,0.133521608,0.884113196,0.612696782,0.350010343,0.299962519,0.461596511,0.655848698,0.344151302,0.559048495,0.631644518,0.583752094,0.685878963
ESP,West Europe,YR2018,0.105140181,0.163434858,0.866284804,0.363086276,0.125096686,0.886102905,0.551661691,0.358379309,0.307141771,0.477323284,0.661869785,0.338130215,0.561519267,0.550249169,0.502931323,0.60312886
ESP,West Europe,YR2019,0.099465962,0.168051681,0.868276882,0.336078327,0.137590156,0.889363318,0.533517143,0.363958619,0.312532661,0.489132496,0.667965822,0.332034178,0.565575653,0.502076412,0.449748744,0.56113627
FRA,West Europe,YR2010,0.062082781,0.252077522,0.85084649,0.171899654,0.030564625,0.985754574,0.521418612,0.642924137,0.420455967,0.518166424,0.613101484,0.386898516,0.781752048,0.284883721,0.292294807,0.275421984
FRA,West Europe,YR2011,0.062082781,0.248384081,0.852838568,0.179566389,0.036722154,0.968941169,0.543098484,0.656872413,0.429129054,0.533640891,0.619422375,0.380577625,0.785560979,0.282392027,0.28559464,0.277480445
FRA,West Europe,YR2012,0.062416559,0.229455187,0.862798764,0.176501585,0.031625437,0.972494415,0.375589467,0.656872413,0.428240541,0.532055612,0.625818218,0.374181782,0.789390944,0.306893688,0.323283082,0.287361054
FRA,West Europe,YR2013,0.067757008,0.208679528,0.870268959,0.147802382,0.036426209,0.973355618,0.399045426,0.662451723,0.428550957,0.532609454,0.632239045,0.367760955,0.793484829,0.328488372,0.34840871,0.305063812
FRA,West Europe,YR2014,0.060080105,0.172668504,0.895169355,0.163998698,0.025924484,0.974865692,0.432898652,0.668031034,0.431034461,0.537040506,0.638709839,0.361290161,0.797270782,0.343853821,0.368927973,0.314944422
FRA,West Europe,YR2015,0.055407212,0.162973167,0.903884456,0.172167499,0.0228442,0.969974676,0.446866542,0.676399999,0.434961995,0.544047987,0.6452306,0.3547694,0.800124364,0.346345515,0.378978224,0.309592425
FRA,West Europe,YR2016,0.060413883,0.158818035,0.902390493,0.144236203,0.011426588,0.980537238,0.445311562,0.68197931,0.439312915,0.551810873,0.651776345,0.348223655,0.802248582,0.333471761,0.355946399,0.307122273
FRA,West Europe,YR2017,0.052069424,0.167128299,0.904133513,0.161688118,0.002453763,0.972703341,0.551896464,0.698717241,0.449869544,0.570645943,0.658347074,0.341652926,0.804591272,0.30730897,0.323283082,0.287772746
FRA,West Europe,YR2018,0.048397865,0.159279726,0.911354461,0.179332606,0,0.965969306,0.513899325,0.712665517,0.458428711,0.585917156,0.664942787,0.335057213,0.80681308,0.291112957,0.304438861,0.2745986
FRA,West Europe,YR2019,0.049399199,0.168051681,0.905627476,0.158380786,0.010986916,0.964095817,0.51193026,0.726613792,0.467312659,0.60176784,0.671563484,0.328436516,0.808588932,0.267026578,0.283919598,0.247015233
